"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"57","candy","","",""
"58","berries","yogurt","",""
"59","canned beer","","",""
"60","butter milk","yogurt","cream cheese ","spread cheese"
"61","rolls/buns","bottled water","soda","newspapers"
"62","coffee","","",""
"63","pastry","bottled water","",""
"64","rolls/buns","","",""
"65","misc. beverages","","",""
"66","root vegetables","other vegetables","butter","curd"
"67","whipped/sour cream","UHT-milk","hard cheese","rolls/buns"
"68","bottled water","long life bakery product","",""
"69","sausage","rolls/buns","cat food","newspapers"
"70","canned beer","","",""
"71","ham","grapes","other vegetables","whole milk"
"72","turkey","tropical fruit","other vegetables","curd"
"73","domestic eggs","brown bread","semi-finished bread","margarine"
"74","baking powder","fruit/vegetable juice","",""
"75","whole milk","yogurt","processed cheese","pickled vegetables"
"76","soda","","",""
"77","whole milk","curd","yogurt","pastry"
"78","packaged fruit/vegetables","brown bread","canned beer",""
"79","rolls/buns","oil","bottled water","chewing gum"
"80","chocolate marshmallow","hygiene articles","napkins",""
"81","ham","beef","whipped/sour cream","ice cream"
"82","rolls/buns","cat food","",""
"83","rolls/buns","pastry","sugar",""
"84","other vegetables","whole milk","frozen vegetables","canned fish"
"85","salty snack","seasonal products","detergent",""
"86","sausage","pastry","",""
"87","sausage","beef","whole milk",""
"88","frankfurter","tropical fruit","rolls/buns","brown bread"
"89","sugar","","",""
"90","rolls/buns","pastry","soda",""
"91","whole milk","","",""
"92","curd cheese","coffee","",""
"93","red/blush wine","newspapers","",""
"94","sausage","whole milk","curd",""
"95","tropical fruit","pip fruit","berries","whole milk"
"96","frozen potato products","rolls/buns","pickled vegetables","chocolate"
"97","red/blush wine","","",""
"98","whole milk","butter","margarine","specialty fat"
"99","specialty chocolate","candles","flower (seeds)",""
"100","frankfurter","citrus fruit","whole milk","domestic eggs"
"101","oil","sparkling wine","specialty chocolate","newspapers"
"102","whole milk","meat spreads","soda",""
"103","frozen potato products","","",""
"104","other vegetables","whole milk","rolls/buns","sugar"
"105","citrus fruit","whole milk","curd","butter milk"
"106","pastry","","",""
"107","flour","salt","bottled water","fruit/vegetable juice"
"108","bottled beer","","",""
"109","sugar","bottled water","soda","bottled beer"
"110","frozen meals","coffee","",""
"111","chocolate","","",""
"112","root vegetables","whole milk","frozen vegetables","domestic eggs"
"113","rolls/buns","oil","margarine","canned vegetables"
"114","fruit/vegetable juice","bathroom cleaner","",""
"115","root vegetables","onions","hard cheese","frozen vegetables"
"116","herbs","condensed milk","frozen vegetables","salt"
"117","oil","white wine","candles",""
"118","bottled water","","",""
"119","sausage","root vegetables","onions","yogurt"
"120","rolls/buns","brandy","detergent",""
"121","coffee","newspapers","",""
"122","pork","other vegetables","whipped/sour cream",""
"123","berries","yogurt","",""
"124","soda","","",""
"125","berries","","",""
"126","fruit/vegetable juice","salty snack","candles",""
"127","citrus fruit","butter milk","yogurt","cream cheese "
"128","pork","hamburger meat","citrus fruit","berries"
"129","onions","whipped/sour cream","rice","coffee"
"130","chocolate","","",""
"131","detergent","","",""
"132","grapes","photo/film","",""
"133","sausage","sliced cheese","rolls/buns","brown bread"
"134","fruit/vegetable juice","canned beer","red/blush wine","waffles"
"135","shopping bags","","",""
"136","chicken","hamburger meat","citrus fruit","tropical fruit"
"137","root vegetables","other vegetables","butter","pasta"
"138","oil","detergent","",""
"139","whole milk","yogurt","brown bread",""
"140","citrus fruit","tropical fruit","",""
"141","soda","misc. beverages","",""
"142","sausage","pork","grapes","whole milk"
"143","rolls/buns","pastry","soda","specialty bar"
"144","bathroom cleaner","","",""
"145","frankfurter","rolls/buns","bottled water",""
"146","sausage","whole milk","yogurt","coffee"
"147","fruit/vegetable juice","bottled beer","softener","napkins"
"148","photo/film","shopping bags","",""
"149","soda","","",""
"150","rolls/buns","fruit/vegetable juice","",""
"151","beef","citrus fruit","berries","root vegetables"
"152","brown bread","detergent","",""
"153","whole milk","whipped/sour cream","rolls/buns","soda"
"154","waffles","candy","cling film/bags",""
"155","processed cheese","","",""
"156","tropical fruit","pip fruit","",""
"157","frankfurter","sausage","root vegetables","other vegetables"
"158","rolls/buns","oil","pickled vegetables","bottled beer"
"159","chewing gum","dishes","",""
"160","packaged fruit/vegetables","bottled water","",""
"161","whole milk","dessert","frozen vegetables","rolls/buns"
"162","margarine","bottled water","red/blush wine","newspapers"
"163","berries","whipped/sour cream","",""
"164","citrus fruit","berries","UHT-milk","processed cheese"
"165","tropical fruit","whole milk","yogurt",""
"166","hamburger meat","whole milk","frozen vegetables","rolls/buns"
"167","bottled beer","sparkling wine","",""
"168","hamburger meat","other vegetables","whole milk","frozen vegetables"
"169","domestic eggs","soda","dishes",""
"170","whole milk","cream cheese ","soda",""
"171","fish","other vegetables","pastry","margarine"
"172","coffee","long life bakery product","male cosmetics","shopping bags"
"173","frankfurter","sausage","long life bakery product","waffles"
"174","packaged fruit/vegetables","dessert","semi-finished bread","canned beer"
"175","pastry","soda","",""
"176","other vegetables","red/blush wine","",""
"177","misc. beverages","","",""
"178","frankfurter","sausage","citrus fruit","tropical fruit"
"179","pip fruit","whole milk","hard cheese","cream cheese "
"180","domestic eggs","rice","sugar","canned fruit"
"181","misc. beverages","fruit/vegetable juice","hygiene articles",""
"182","sparkling wine","","",""
"183","specialty bar","","",""
"184","sausage","butter milk","rolls/buns",""
"185","curd cheese","","",""
"186","frankfurter","dessert","",""
"187","whole milk","yogurt","beverages","brown bread"
"188","shopping bags","","",""
"189","newspapers","","",""
"190","berries","soda","",""
"191","curd","flour","liquor (appetizer)",""
"192","tropical fruit","other vegetables","coffee",""
"193","soda","","",""
"194","rolls/buns","Instant food products","",""
"195","canned beer","","",""
"196","canned beer","","",""
"197","frankfurter","sausage","whole milk","rolls/buns"
"198","margarine","","",""
"199","other vegetables","misc. beverages","canned beer",""
"200","whole milk","frozen vegetables","",""
"201","whole milk","","",""
"202","citrus fruit","butter","cream cheese ","white bread"
"203","oil","margarine","newspapers",""
"204","frankfurter","rolls/buns","",""
"205","frankfurter","ham","pip fruit","other vegetables"
"206","whole milk","soft cheese","frozen vegetables","rolls/buns"
"207","sugar","baking powder","",""
"208","butter milk","yogurt","honey","soda"
"209","detergent","","",""
"210","hamburger meat","citrus fruit","onions","rolls/buns"
"211","bottled water","dental care","",""
"212","pasta","popcorn","",""
"213","other vegetables","whole milk","meat spreads","cake bar"
"214","chocolate","shopping bags","",""
"215","sausage","pork","citrus fruit","dessert"
"216","white bread","dishes","candles",""
"217","rolls/buns","","",""
"218","grapes","other vegetables","curd","dessert"
"219","yogurt","napkins","",""
"220","root vegetables","other vegetables","whole milk","yogurt"
"221","beverages","soft cheese","frozen vegetables","fruit/vegetable juice"
"222","bottled beer","","",""
"223","coffee","shopping bags","",""
"224","popcorn","","",""
"225","whole milk","rolls/buns","sugar","bottled water"
"226","soda","","",""
"227","tropical fruit","other vegetables","packaged fruit/vegetables","whole milk"
"228","snack products","","",""
"229","beef","herbs","flour","cling film/bags"
"230","flower soil/fertilizer","","",""
"231","whole milk","butter","dessert","rolls/buns"
"232","frankfurter","soda","chewing gum",""
"233","tropical fruit","specialty cheese","bottled water",""
"234","canned beer","","",""
"235","finished products","other vegetables","frozen vegetables","bottled beer"
"236","beverages","soda","",""
"237","hamburger meat","root vegetables","whole milk",""
"238","whole milk","pastry","long life bakery product",""
"239","finished products","white wine","shopping bags",""
"240","other vegetables","","",""
"241","ham","tropical fruit","other vegetables","whole milk"
"242","white bread","brown bread","fruit/vegetable juice","bottled beer"
"243","other vegetables","","",""
"244","curd","butter milk","cocoa drinks","salty snack"
"245","popcorn","","",""
"246","bottled beer","","",""
"247","curd","dessert","soda","salty snack"
"248","waffles","cake bar","chocolate","shopping bags"
"249","whole milk","cream cheese ","cereals","dog food"
"250","whole milk","salt","",""
"251","dessert","ice cream","",""
"252","sausage","soft cheese","coffee",""
"253","other vegetables","bottled water","waffles","dishes"
"254","shopping bags","","",""
"255","ham","whole milk","rolls/buns",""
"256","other vegetables","ice cream","",""
"257","other vegetables","bottled water","",""
"258","soda","bottled beer","white wine","prosecco"
"259","herbs","candy","",""
"260","frankfurter","ham","tropical fruit","pip fruit"
"261","root vegetables","other vegetables","whole milk","butter"
"262","curd","yogurt","whipped/sour cream","soft cheese"
"263","sliced cheese","cream cheese ","frozen meals","frozen fish"
"264","domestic eggs","white bread","sugar","cereals"
"265","fruit/vegetable juice","bottled beer","waffles",""
"266","rolls/buns","canned beer","",""
"267","curd","cream cheese ","semi-finished bread","zwieback"
"268","cake bar","specialty bar","shopping bags",""
"269","frankfurter","tropical fruit","whole milk","spread cheese"
"270","margarine","shopping bags","",""
"271","other vegetables","","",""
"272","dog food","","",""
"273","specialty bar","","",""
"274","curd","salt","liquor (appetizer)","detergent"
"275","shopping bags","","",""
"276","frankfurter","rolls/buns","",""
"277","soda","","",""
"278","beef","berries","root vegetables","whole milk"
"279","dessert","spread cheese","brown bread",""
"280","canned beer","","",""
"281","pork","beef","pip fruit","herbs"
"282","spices","","",""
"283","frankfurter","citrus fruit","UHT-milk","margarine"
"284","sugar","","",""
"285","sausage","bottled beer","liquor (appetizer)",""
"286","canned beer","","",""
"287","specialty chocolate","","",""
"288","curd","rolls/buns","",""
"289","canned beer","","",""
"290","whole milk","bottled water","newspapers",""
"291","rolls/buns","chewing gum","",""
"292","pork","root vegetables","other vegetables","whole milk"
"293","dishes","","",""
"294","citrus fruit","pastry","",""
"295","pot plants","","",""
"296","rolls/buns","pastry","soda",""
"297","butter","yogurt","bottled water","soda"
"298","make up remover","hygiene articles","",""
"299","condensed milk","sugar","coffee","shopping bags"
"300","sausage","other vegetables","yogurt","soda"
"301","shopping bags","","",""
"302","whole milk","beverages","UHT-milk","soda"
"303","sausage","pork","beef","whole milk"
"304","rolls/buns","margarine","",""
"305","beverages","","",""
"306","beverages","specialty bar","",""
"307","bottled water","fruit/vegetable juice","",""
"308","newspapers","","",""
"309","cleaner","female sanitary products","",""
"310","sausage","soda","newspapers","shopping bags"
"311","newspapers","","",""
"312","sausage","beef","citrus fruit","other vegetables"
"313","whole milk","butter milk","whipped/sour cream","beverages"
"314","hard cheese","rolls/buns","dish cleaner","cookware"
"315","misc. beverages","newspapers","",""
"316","white wine","","",""
"317","sausage","sliced cheese","rolls/buns","soda"
"318","canned beer","shopping bags","",""
"319","meat","curd","bottled beer","cake bar"
"320","frankfurter","meat","tropical fruit","onions"
"321","oil","baking powder","tea","cling film/bags"
"322","ice cream","rolls/buns","canned beer",""
"323","canned beer","","",""
"324","tropical fruit","berries","root vegetables","other vegetables"
"325","bottled water","shopping bags","",""
"326","meat","citrus fruit","other vegetables","curd"
"327","dessert","butter milk","beverages","cream cheese "
"328","rolls/buns","brown bread","tea","bottled water"
"329","whole milk","mustard","bottled water",""
"330","sausage","beef","beverages","sliced cheese"
"331","rolls/buns","spices","house keeping products","flower (seeds)"
"332","frankfurter","sausage","root vegetables","butter"
"333","curd","sliced cheese","rolls/buns","salty snack"
"334","long life bakery product","","",""
"335","meat","other vegetables","butter","rolls/buns"
"336","root vegetables","beverages","Instant food products","pickled vegetables"
"337","detergent","","",""
"338","root vegetables","herbs","other vegetables","whole milk"
"339","sliced cheese","rolls/buns","",""
"340","whole milk","whipped/sour cream","semi-finished bread","margarine"
"341","citrus fruit","whole milk","curd","dessert"
"342","yogurt","whipped/sour cream","frozen dessert","rolls/buns"
"343","salt","sugar","cereals","canned vegetables"
"344","canned fish","skin care","hygiene articles","napkins"
"345","citrus fruit","curd","pastry","margarine"
"346","sugar","candy","newspapers",""
"347","other vegetables","whole milk","bottled water","soda"
"348","misc. beverages","bottled beer","red/blush wine","napkins"
"349","citrus fruit","whole milk","rolls/buns",""
"350","sausage","oil","hygiene articles","napkins"
"351","frankfurter","beef","hamburger meat","grapes"
"352","root vegetables","whole milk","butter","frozen dessert"
"353","potato products","bottled water","bottled beer",""
"354","hard cheese","rolls/buns","bottled water","newspapers"
"355","cream cheese ","rolls/buns","soda","chocolate"
"356","turkey","beef","frozen vegetables","dishes"
"357","photo/film","","",""
"358","pork","other vegetables","whipped/sour cream","rolls/buns"
"359","soda","shopping bags","",""
"360","whole milk","beverages","",""
"361","rolls/buns","soda","",""
"362","sausage","pip fruit","whole milk","curd"
"363","yogurt","sliced cheese","rolls/buns","bottled water"
"364","hygiene articles","","",""
"365","ice cream","","",""
"366","liquor","","",""
"367","pip fruit","other vegetables","fruit/vegetable juice",""
"368","root vegetables","other vegetables","yogurt",""
"369","soda","","",""
"370","soda","","",""
"371","sausage","citrus fruit","tropical fruit","other vegetables"
"372","whole milk","yogurt","rolls/buns","bottled water"
"373","soda","chocolate","newspapers",""
"374","root vegetables","whole milk","pet care","detergent"
"375","pork","berries","root vegetables","other vegetables"
"376","pastry","specialty bar","",""
"377","pork","","",""
"378","chocolate","","",""
"379","fruit/vegetable juice","","",""
"380","pickled vegetables","coffee","",""
"381","bottled water","","",""
"382","frankfurter","sausage","butter","whipped/sour cream"
"383","rolls/buns","margarine","spices",""
"384","tropical fruit","pip fruit","onions","other vegetables"
"385","whole milk","domestic eggs","sugar","soups"
"386","tea","soda","hygiene articles","napkins"
"387","canned beer","","",""
"388","root vegetables","","",""
"389","meat","citrus fruit","berries","root vegetables"
"390","whole milk","soda","",""
"391","frankfurter","rolls/buns","bottled water","fruit/vegetable juice"
"392","hygiene articles","","",""
"393","tropical fruit","margarine","rum",""
"394","tropical fruit","root vegetables","herbs","whole milk"
"395","butter milk","whipped/sour cream","flour","hygiene articles"
"396","citrus fruit","pip fruit","root vegetables","other vegetables"
"397","whole milk","cream cheese ","domestic eggs","brown bread"
"398","margarine","baking powder","waffles",""
"399","hamburger meat","other vegetables","whole milk","curd"
"400","yogurt","rolls/buns","pastry","semi-finished bread"
"401","margarine","bottled water","fruit/vegetable juice",""
"402","chicken","pip fruit","other vegetables","whole milk"
"403","dessert","yogurt","whipped/sour cream","rolls/buns"
"404","pasta","soda","waffles",""
"405","chicken","citrus fruit","tropical fruit","root vegetables"
"406","whole milk","frozen fish","rolls/buns",""
"407","frankfurter","citrus fruit","onions","other vegetables"
"408","whole milk","rolls/buns","sugar","soda"
"409","canned beer","","",""
"410","turkey","pip fruit","salad dressing","pastry"
"411","packaged fruit/vegetables","whole milk","curd","yogurt"
"412","domestic eggs","brown bread","mustard","pickled vegetables"
"413","bottled water","misc. beverages","",""
"414","pasta","","",""
"415","citrus fruit","tropical fruit","",""
"416","sausage","whole milk","yogurt","rolls/buns"
"417","brown bread","pot plants","",""
"418","whole milk","frozen meals","pastry","fruit/vegetable juice"
"419","waffles","","",""
"420","canned beer","","",""
"421","citrus fruit","sugar","sauces",""
"422","liquor (appetizer)","","",""
"423","citrus fruit","other vegetables","rolls/buns","salty snack"
"424","shopping bags","","",""
"425","sausage","","",""
"426","chicken","other vegetables","whole milk","vinegar"
"427","oil","bottled water","canned beer","napkins"
"428","newspapers","","",""
"429","hamburger meat","root vegetables","other vegetables","whole milk"
"430","yogurt","whipped/sour cream","specialty cheese","flour"
"431","margarine","","",""
"432","sausage","pork","other vegetables","dessert"
"433","yogurt","oil","soda",""
"434","beef","berries","root vegetables","whole milk"
"435","whipped/sour cream","abrasive cleaner","",""
"436","citrus fruit","packaged fruit/vegetables","yogurt","bottled water"
"437","UHT-milk","coffee","",""
"438","candy","","",""
"439","newspapers","","",""
"440","beef","citrus fruit","other vegetables","yogurt"
"441","sausage","rolls/buns","",""
"442","frankfurter","beef","root vegetables","curd"
"443","dessert","yogurt","soft cheese","rolls/buns"
"444","mustard","pickled vegetables","canned beer","hygiene articles"
"445","napkins","","",""
"446","canned beer","","",""
"447","bottled beer","","",""
"448","onions","soda","chewing gum","chocolate"
"449","newspapers","","",""
"450","tropical fruit","packaged fruit/vegetables","cream cheese ","white bread"
"451","candy","","",""
"452","bottled water","white wine","",""
"453","beef","white bread","pastry","pasta"
"454","soap","","",""
"455","sausage","chicken","tropical fruit","root vegetables"
"456","whole milk","yogurt","candy","abrasive cleaner"
"457","cleaner","","",""
"458","hair spray","","",""
"459","chicken","whole milk","spices","long life bakery product"
"460","shopping bags","","",""
"461","pork","citrus fruit","brown bread","pastry"
"462","sugar","cat food","",""
"463","ice cream","","",""
"464","meat","hard cheese","bottled beer",""
"465","other vegetables","yogurt","brown bread","instant coffee"
"466","bottled water","cake bar","",""
"467","tropical fruit","soda","salty snack",""
"468","photo/film","","",""
"469","sausage","citrus fruit","yogurt","coffee"
"470","soda","canned beer","dishes",""
"471","grapes","root vegetables","",""
"472","domestic eggs","brown bread","photo/film",""
"473","rolls/buns","canned fish","canned beer",""
"474","tropical fruit","whole milk","",""
"475","chicken","","",""
"476","frankfurter","other vegetables","yogurt","brown bread"
"477","bottled water","","",""
"478","berries","root vegetables","other vegetables","curd"
"479","butter milk","cream cheese ","roll products ","margarine"
"480","misc. beverages","specialty chocolate","detergent",""
"481","margarine","hygiene articles","",""
"482","tropical fruit","yogurt","rolls/buns","soda"
"483","shopping bags","","",""
"484","ham","other vegetables","whipped/sour cream","hard cheese"
"485","rolls/buns","soda","misc. beverages","chocolate"
"486","candy","","",""
"487","hamburger meat","white bread","salty snack",""
"488","yogurt","mayonnaise","rolls/buns","soda"
"489","napkins","","",""
"490","soda","specialty chocolate","",""
"491","yogurt","","",""
"492","soda","","",""
"493","bottled water","","",""
"494","sausage","meat","hamburger meat","rubbing alcohol"
"495","citrus fruit","pip fruit","beverages","hard cheese"
"496","pet care","soda","fruit/vegetable juice","waffles"
"497","shopping bags","","",""
"498","newspapers","","",""
"499","frankfurter","other vegetables","whole milk","curd"
"500","frozen potato products","zwieback","specialty bar","dish cleaner"
"501","sausage","citrus fruit","whole milk","canned beer"
"502","frankfurter","rolls/buns","",""
"503","salt","salty snack","cookware",""
"504","oil","","",""
"505","curd","beverages","cream cheese ","rolls/buns"
"506","pastry","soda","cake bar","chewing gum"
"507","other vegetables","butter","specialty chocolate",""
"508","citrus fruit","","",""
"509","frankfurter","whole milk","butter milk",""
"510","root vegetables","whole milk","butter","processed cheese"
"511","mayonnaise","salty snack","",""
"512","tropical fruit","whole milk","frozen meals","bottled beer"
"513","beef","hamburger meat","pip fruit",""
"514","berries","whipped/sour cream","cereals","waffles"
"515","shopping bags","","",""
"516","canned beer","","",""
"517","whipped/sour cream","canned beer","red/blush wine",""
"518","root vegetables","domestic eggs","margarine","chocolate marshmallow"
"519","candy","","",""
"520","whole milk","soda","",""
"521","beef","","",""
"522","frozen vegetables","","",""
"523","rolls/buns","bottled beer","",""
"524","whole milk","hygiene articles","",""
"525","whole milk","","",""
"526","citrus fruit","whole milk","curd","soft cheese"
"527","pastry","fruit/vegetable juice","",""
"528","frankfurter","sausage","pork","pip fruit"
"529","butter","processed cheese","white bread","brown bread"
"530","tropical fruit","root vegetables","whole milk","whipped/sour cream"
"531","domestic eggs","","",""
"532","frankfurter","sausage","root vegetables","yogurt"
"533","whipped/sour cream","pastry","napkins",""
"534","berries","root vegetables","other vegetables","packaged fruit/vegetables"
"535","whole milk","curd","curd cheese","cat food"
"536","specialty bar","detergent","",""
"537","rolls/buns","brown bread","pastry","coffee"
"538","bottled beer","","",""
"539","root vegetables","packaged fruit/vegetables","curd","dessert"
"540","frozen vegetables","specialty fat","coffee",""
"541","yogurt","","",""
"542","other vegetables","bottled water","",""
"543","berries","white bread","",""
"544","berries","coffee","",""
"545","other vegetables","butter milk","frozen meals","bottled water"
"546","rolls/buns","newspapers","",""
"547","ham","citrus fruit","whole milk","whipped/sour cream"
"548","rolls/buns","pastry","waffles","hygiene articles"
"549","whole milk","frozen dessert","salty snack","napkins"
"550","tropical fruit","butter milk","rolls/buns","bottled water"
"551","bottled water","","",""
"552","butter milk","yogurt","",""
"553","newspapers","","",""
"554","coffee","","",""
"555","bottled beer","liquor","",""
"556","onions","butter","whipped/sour cream","hard cheese"
"557","frozen vegetables","pasta","specialty fat","syrup"
"558","candy","napkins","cling film/bags",""
"559","hamburger meat","hard cheese","frozen meals","pasta"
"560","dog food","salty snack","shopping bags",""
"561","sausage","liver loaf","other vegetables","cream cheese "
"562","pastry","soap","shopping bags",""
"563","hard cheese","pastry","napkins",""
"564","sausage","tropical fruit","condensed milk","rolls/buns"
"565","hamburger meat","","",""
"566","onions","whole milk","beverages","frozen dessert"
"567","coffee","","",""
"568","shopping bags","","",""
"569","yogurt","rolls/buns","pastry","bottled water"
"570","soda","shopping bags","",""
"571","soda","","",""
"572","sliced cheese","","",""
"573","sausage","whole milk","coffee",""
"574","yogurt","chocolate","",""
"575","domestic eggs","rolls/buns","dish cleaner","hygiene articles"
"576","whole milk","","",""
"577","meat","other vegetables","whole milk","whipped/sour cream"
"578","dish cleaner","bathroom cleaner","hygiene articles","napkins"
"579","other vegetables","red/blush wine","",""
"580","whole milk","butter milk","yogurt","sliced cheese"
"581","rolls/buns","sweet spreads","coffee","fruit/vegetable juice"
"582","long life bakery product","shopping bags","",""
"583","other vegetables","whole milk","rolls/buns","Instant food products"
"584","tropical fruit","other vegetables","",""
"585","baking powder","bottled water","salty snack","chewing gum"
"586","specialty bar","","",""
"587","ice cream","","",""
"588","frankfurter","yogurt","",""
"589","canned beer","","",""
"590","bottled water","","",""
"591","other vegetables","whole milk","rolls/buns","margarine"
"592","bottled water","bottled beer","",""
"593","citrus fruit","tropical fruit","onions","other vegetables"
"594","shopping bags","","",""
"595","sausage","ham","hamburger meat","whole milk"
"596","soda","softener","newspapers",""
"597","domestic eggs","rolls/buns","specialty bar","napkins"
"598","pork","citrus fruit","tropical fruit","root vegetables"
"599","other vegetables","curd","hygiene articles",""
"600","specialty cheese","frozen vegetables","coffee","soda"
"601","fruit/vegetable juice","salty snack","",""
"602","pork","citrus fruit","pip fruit","yogurt"
"603","fruit/vegetable juice","sparkling wine","",""
"604","beef","berries","whipped/sour cream","domestic eggs"
"605","rolls/buns","","",""
"606","other vegetables","pet care","",""
"607","chicken","yogurt","sliced cheese","rolls/buns"
"608","chewing gum","dishes","",""
"609","soda","chewing gum","",""
"610","whole milk","","",""
"611","rolls/buns","","",""
"612","bottled beer","","",""
"613","root vegetables","pastry","bottled water","male cosmetics"
"614","pastry","","",""
"615","berries","pet care","cake bar","shopping bags"
"616","citrus fruit","tropical fruit","root vegetables","yogurt"
"617","canned vegetables","bottled water","soda","softener"
"618","whole milk","oil","canned fruit","fruit/vegetable juice"
"619","soda","misc. beverages","",""
"620","bottled water","soda","",""
"621","tropical fruit","other vegetables","rolls/buns",""
"622","salty snack","","",""
"623","bottled water","canned beer","",""
"624","chocolate","","",""
"625","citrus fruit","UHT-milk","cream cheese ","frozen vegetables"
"626","bottled water","canned beer","male cosmetics",""
"627","onions","other vegetables","pastry","bottled water"
"628","soda","napkins","",""
"629","dessert","oil","cat food","soda"
"630","beef","other vegetables","whole milk","frozen potato products"
"631","rolls/buns","oil","margarine","coffee"
"632","dental care","hygiene articles","newspapers",""
"633","rolls/buns","zwieback","bottled water","misc. beverages"
"634","bottled beer","canned beer","brandy",""
"635","beef","tropical fruit","root vegetables","onions"
"636","other vegetables","instant coffee","soda",""
"637","soda","","",""
"638","coffee","hygiene articles","",""
"639","rolls/buns","brown bread","bottled water",""
"640","pork","beef","hamburger meat","other vegetables"
"641","whole milk","frozen vegetables","rolls/buns","margarine"
"642","shopping bags","","",""
"643","soda","canned beer","liquor (appetizer)","hygiene articles"
"644","napkins","newspapers","",""
"645","sausage","ham","other vegetables","ice cream"
"646","white bread","","",""
"647","beef","root vegetables","other vegetables","rolls/buns"
"648","sugar","","",""
"649","whole milk","butter","bottled water","bottled beer"
"650","pork","ice cream","hygiene articles","house keeping products"
"651","berries","packaged fruit/vegetables","whole milk","ice cream"
"652","fruit/vegetable juice","salty snack","specialty bar",""
"653","sausage","other vegetables","curd","yogurt"
"654","whipped/sour cream","frozen vegetables","rolls/buns","roll products "
"655","bottled water","misc. beverages","cling film/bags",""
"656","tropical fruit","other vegetables","packaged fruit/vegetables","whole milk"
"657","hard cheese","frozen dessert","rice","bottled water"
"658","herbs","bottled water","",""
"659","yogurt","rolls/buns","",""
"660","Instant food products","","",""
"661","specialty chocolate","","",""
"662","coffee","","",""
"663","bottled beer","liquor","",""
"664","beef","root vegetables","",""
"665","whole milk","honey","waffles",""
"666","frankfurter","rolls/buns","pastry","snack products"
"667","specialty bar","","",""
"668","frankfurter","sausage","liver loaf","root vegetables"
"669","curd","frozen vegetables","rolls/buns","semi-finished bread"
"670","hygiene articles","photo/film","",""
"671","other vegetables","whole milk","cream cheese ",""
"672","frankfurter","root vegetables","pickled vegetables","soda"
"673","seasonal products","","",""
"674","whole milk","rolls/buns","newspapers",""
"675","frankfurter","margarine","dental care",""
"676","other vegetables","salty snack","",""
"677","bottled water","shopping bags","",""
"678","pork","onions","whole milk","butter"
"679","rolls/buns","pastry","rum","hygiene articles"
"680","bottled water","","",""
"681","other vegetables","whipped/sour cream","specialty cheese","domestic eggs"
"682","hamburger meat","whole milk","curd","pasta"
"683","canned beer","","",""
"684","hamburger meat","citrus fruit","other vegetables",""
"685","shopping bags","","",""
"686","whole milk","cream cheese ","soda","fruit/vegetable juice"
"687","ice cream","","",""
"688","pastry","bottled water","",""
"689","ham","pip fruit","whole milk","curd"
"690","dessert","butter milk","whipped/sour cream","sliced cheese"
"691","cream cheese ","white bread","coffee","long life bakery product"
"692","chocolate","baby cosmetics","",""
"693","frankfurter","soda","",""
"694","sausage","turkey","beef","root vegetables"
"695","domestic eggs","rolls/buns","flour","rice"
"696","organic products","misc. beverages","napkins",""
"697","bottled beer","","",""
"698","bottled water","bottled beer","napkins",""
